name,description,one_liner,brand,category,featured,image
Green 4 Bodywork,"GREEN 4 BODYWORK
is a real make-up for exterior, perfect to
make bright your vehicle. Our cream has
full color-revitalizing properties and
protects the bodywork against
weathering, dirt, dust and acts as water
repellent. Chemical-free, no acid, made
of selected plant extracts this formula is  unique in its kind releasing a natural
glossy effect without the use of
professional tools. No film on the
surface, it works great penetrating the
paint’s micro holes. It has been engineered
to detail, protect and polish the
bodywork with high quality effect in few
minutes being 6x faster than standard
polish. Few drops of GREEN 4 RIMS are
enough to cover the wheel and make it
glossy. Its formulation, 100% plant
based, makes of GREEN 4 RIMS a 100%
safe product for the environment, skin
and wheel’s surfaces. For cleaning and
degreasing wheels, use GREEN 4
WHEELS, a real natural cleaner for
grease, oil and break dust.",SPECIAL REVITALIZING COLOR CREAM,Green Car Care,Green Car Care,FALSE,1-bodywork.jpg
Green 4 Car Wash,"GREEN 4 CAR WASH is a natural shampoo
designed to be effective to remove quickly
dirt, insect and more on the exterior surface.
It is chemical-free and no-acid so means it is
not aggressive on the paint and can be used
on all kind of light alloy, steel and aluminum
wheels, plastic and rubber. Its formulation,
100% plant based, makes of GREEN 4 CAR
WASH a 100% safe product for the
environment, skin and vehicle’s surfaces.
After the application, use GREEN 4
BODYWORK cream, a real special touch to
polish and protect vehicle.",NATURAL AND NEUTRAL,Green Car Care,Green Car Care,FALSE,2-car_wash.jpg
Green 4 Fragrance,"GREEN 4 FRAGRANCE is a
Must-Have when it comes to have
always fresh interior.
Our formulation is totally VOCs-free, it
means you don’t breath chemical and
dangerous substances.
It is not a covering or masking
product, it is has been studied to
breakdown the odor molecule and to
be very effective to remove any bad
odors like smog or just to keep a
touch of freshness inside the car.
Its formulation, 100% plant based
and with Orchid, makes of GREEN 4
FRAGRANCE a 100% safe product
for the environment, skin and interior.",NATURAL ODOR REMOVER SPRAY,Green Car Care,Green Car Care,FALSE,3-fragrance.jpg
Green 4 Glass,"GREEN 4 GLASS is a specific natural
formulation to degrease and clean the
interior and exterior car windows in a while
and without leaving halos and spots even on
glass exposed to the sun.
Detailing car windows has never been so
easy and effortless.
Its formulation, 100% plant based, makes of
GREEN 4 GLASS a 100% safe product for
the environment, skin and car windows.
After the application, use GREEN 4 RIMS
cream, a real special touch to polish and
protect wheels.","NATURAL, ANTISTATIC AND STREAK-FREE SPRAY FOR GLASSES",Green Car Care,Green Car Care,FALSE,4-glass.jpg
Green 4 Interior Surfaces,"GREEN 4 INTERIOR SURFACES is an
intensive protector and revitalizing
natural cream for interior surfaces.
It has been designed to detail
surfaces like plastic, carbon fiber,
aluminum, burl wood and more.
This product is essential when interior
surfaces need of a make-up and
looking perfect. Our formula does not
leave greasy effect and does not make
film on the surface. It is also effective
to reduce dust deposit.
Its formulation, 100% plant based,
makes of GREEN 4 INTERIOR
SURFACES a 100% safe product for
the environment, skin and interior
surfaces. To clean well your interior
surface, use GREEN 4 INTERIOR.","REVITALIZING AND PROTECTIVE
CREAM FOR INTERIOR",Green Car Care,Green Car Care,FALSE,5-interior_surfaces.jpg
Green 4 Leather,"GREEN 4 LEATHER is the anti-age,
nourishing and protective natural cream
for leather seats. Its formulation has
been engineered to detail and
nourishing the leather fibers and to
prevent the aging of the leather.
It is also effective to reduce the signs of
use or excessive wear and to reinforce
the leather’s structure giving more
vivacity to the leather’s colors.
Its formulation, 100% plant based,
makes of GREEN 4 LEATHER a 100%
safe product for the environment, skin
and seat’s surfaces. To remove stains
from fabric or leather seats, use GREEN
4 SEATS.",ANTI-AGE NOURISHING CREAM FOR LEATHER,Green Car Care,Green Car Care,FALSE,7-leather.jpg
Green 4 Rims,"GREEN 4 RIMS is a protective cream
for all kinds of alloy, steel and
aluminum wheels. Chemical-free and
no acid can be applied even by
hands. Its formulation has been
engineered to detail, protect and
polish the wheel’s surface and leaves
high quality effect in few minutes, it is
6x faster than standard polish.
Few drops of GREEN 4 RIMS are
enough to cover the wheel and make
it glossy. Its formulation, 100% plant
based, makes of GREEN 4 RIMS a
100% safe product for the
environment, skin and wheel’s
surfaces. For cleaning and degreasing
wheels, use GREEN 4 WHEELS,
a real natural cleaner for grease, oil
and break dust.",PROTECTIVE CREAM FOR RIMS,Green Car Care,Green Car Care,FALSE,8-rims.jpg
Green 4 Seats,"GREEN 4 SEATS is a natural stains remover
spray for leather and fabric seats.
It safely works great even on stubborn stains.
Fast and effective it can be used to remove
oil and grease stains also.
Its formulation, 100% plant based, makes of
GREEN 4 SEATS a 100% safe product for the
environment, skin and surfaces treated.
After the application, if you have leather
seats use GREEN 4 LEATHER cream, a real
special touch to nourish and revitalize the
seat’s leather.",STAINS REMOVER FOR FABRICS AND LEATHER SEATS,Green Car Care,Green Car Care,FALSE,9-seats.jpg
Green 4 Washing Waterless,"GREEN 4 WASHING WATERLESS is the best
solution to wash the exterior area of the
vehicle without using water regardless of
where you are.
Its formulation, 100% plant based, makes of
GREEN 4 WASHING WATERLESS a 100%
safe product for the environment, skin and
vehicle’s surface.
It works great and allow you to wash well
your vehicle using few product.",NATURAL ESSENTIAL SHAMPOO,Green Car Care,Green Car Care,FALSE,10-washing_waterless.jpg
Green 4 Wheels,"GREEN 4 WHEELS is a fast and effective
chemical-free, no acid grease, oil and break
dust remover.
It can be used on all kind of light alloy, steel
and aluminum wheels.
Its formulation, 100% plant based, makes of
GREEN 4 WHEELS a 100% safe product for
the environment, skin and wheel’s surfaces.
After the application, use GREEN 4 RIMS
cream, a real special touch to polish and
protect wheels.","REMOVE QUICKLY DIRT, GREASE AND BREAK DUST",Green Car Care,Green Car Care,FALSE,11-wheels.jpg
