name,description,one_liner,brand,category,featured,image,sku
Long Johns – Merino wool and silk,"Long Johns made of a precious, natural, luxurious intimate blend of Merino extrafine wool and top quality pure silk flat knit fabric, enhancing the sheen and softness of the garment for a result that is cozy, pleasant on the skin, particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration.","This classic men’s Long Johns, ideal for delicate and sensitive skins to enjoy a warm and comfortable winter in elegance and refinement, offers a comfort fit and an unrivalled balance between softness and warmth, perfect for layering under in the colder seasons’ sporty moments or daily workhours.",Oscalito,Leggings (Basic Men Wear),FALSE,leggings/619_020_L.jpg, 619-020
Long johns – Termotex,"Warm and cozy Long Johns made in Termotex®. Termotex®, exclusive registered Oscalito trademark,  is a fabric made of a double layer of pure long staple Egyptian cotton, knitted in small tubular wales for a result that is soft and pleasant on the skin but particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration. ","Warm and cozy Long Johns made in Termotex®. Termotex®, exclusive registered Oscalito trademark,  is a fabric made of a double layer of pure long staple Egyptian cotton, knitted in small tubular wales for a result that is soft and pleasant on the skin but particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration. ",Oscalito,Leggings (Basic Men Wear),FALSE,leggings/5557_010_F.jpg, 5557-010
,,,,,,,
,,,,,,,
,,,,,,,
Crew neck Long Sleeve shirt -Termotex,"Warm and cozy Crew neck Long Sleeves shirt made in Termotex®.  Termotex®, exclusive registered Oscalito trademark,  is a fabric made of a double layer of pure long staple Egyptian cotton, knitted in small tubular wales for a result that is soft and pleasant on the skin but particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration. ","This classic men’s shirt features a crew cut neckline and offers a relaxed fit, ideal for layering under a shirt or jacket, and an unrivalled balance between softness and warmth ideal for the colder seasons.",Oscalito,Long Sleeves (Basic Men Wear),FALSE,long_sleeves/5556_228_F.jpg, 5556-228
Crew neckline Long Sleeve Shirt – Merino wool and silk,"Crew neckline Long Sleeves Shirt made of a precious, natural, luxurious intimate blend of Merino extrafine wool and top quality pure silk flat knit fabric, enhancing the sheen and softness of the garment for a result that is cozy, pleasant on the skin, particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration. ","Featuring no side seams construction, this classic men’s shirt offers a comfort fit, ideal for delicate and sensitive skins to enjoy a warm and comfortable winter in elegance and refinement.",Oscalito,Long Sleeves (Basic Men Wear),FALSE,long_sleeves/618_012_F.jpg, 618-012
Long Sleeve crew neckline Shirt – Merino wool and silk,"Long Sleeves crew neckline Shirt made of a precious, natural, luxurious intimate blend of Merino extrafine wool and top quality pure silk flat knit fabric, enhancing the sheen and softness of the garment for a result that is cozy, pleasant on the skin, particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration."," Coming in several seasonal colors, this Oscalito must have item could easily be worn on its own for casual occasions or outdoors light leisure and sport activities.",Oscalito,Long Sleeves (Basic Men Wear),FALSE,long_sleeves/626_223_F.jpg, 626-223
Long Sleeve Mock Turtleneck – Merino wool and silk,"Long Sleeves Mock Turtleneck made of a precious, natural, luxurious intimate blend of Merino extrafine wool and top quality pure silk flat knit fabric, enhancing the sheen and softness of the garment for a result that is cozy, pleasant on the skin, particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration.","Coming in several seasonal colors, this Oscalito must have item could easily be worn on its own for casual occasions or outdoors light leisure and sport activities.",Oscalito,Long Sleeves (Basic Men Wear),FALSE,long_sleeves/628_020_F.jpg, 628-020
Long Sleeve Turtleneck – Merino wool and silk,"Long Sleeves Turtleneck made of a precious, natural, luxurious intimate blend of Merino extrafine wool and top quality pure silk flat knit fabric, enhancing the sheen and softness of the garment for a result that is cozy, pleasant on the skin, particularly warm because it retains body heat, granting thermal insulation and favouring natural perspiration.","Coming in several seasonal colors, this Oscalito must have item could easily be worn on its own for casual occasions or outdoors light leisure and sport activities.",Oscalito,Long Sleeves (Basic Men Wear),FALSE,long_sleeves/629_020_F.jpg, 629-020
,,,,,,,
,,,,,,,
,,,,,,,
Sleeveless Shirt – Egyptian Makò cotton,"Sleeveless Shirt made of a delicate flat knit fabric in Pure Egyptian Makò cotton, extremely comfortable upon the skin due to its capacity to absorb up to 20% of water vapour without any unpleasant feeling of dampness. ","Featuring no side seams construction and crew neckline Oscalito’s super fine cotton shirt is resistant to high temperatures, tolerates frequent washing well and makes for uniquely pleasant and comfortable underwear for your everyday life.",Oscalito,Sleeveless (Basic Men Wear),FALSE,sleeveless/52_010_F.jpg, 52-010
V neck Sleeveless Shirt – Filoscozia,"V neck Sleeveless Shirt made from a delicate flat knit fabric born of the purest Filoscozia® which originates from long fibre Egyptian Makò cotton that is two-fold twisted, gassed and mercerised for cool garments that are bright, resistant and pleasant on the skin (Filoscozia®). ","Featuring no side seams construction and masculine V neckline Oscalito’s super fine cotton sleeveless shirt, defined by elegant designs and fine finishes, is resistant to high temperatures, tolerates frequent washing well and makes for uniquely pleasant and comfortable underwear for your everyday life.",Oscalito,Sleeveless (Basic Men Wear),FALSE,sleeveless/740_010_F.jpg, 740-010
