name,description,one_liner,brand,category,featured,image,sku
Short Sleeeves Bolero,"Short Sleeves Bolero made of a precious cotton and nylon tufted lace. A stylish accessory for any Oscalito item, perfectly fitting your everyday life.",Short Sleeves Bolero made of a precious cotton and nylon tufted lace.,Oscalito,Cardigan (Season Collection),FALSE,cardigan/8306_3438-2.jpg,8306
Sleeveless Cloak,Sleeveless cloak made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a precious wool fringes shaped macramè. It can be used as a cardigan over a simple turtleneck or any other Oscalito shirts and its elegance is perfect for every occasions as well as your everyday life.,Sleeveless cloak made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a precious wool fringes shaped macramè.,Oscalito,Cardigan (Season Collection),FALSE,cardigan/8254_3429-3.jpg,8254
Long Sleeves Shirt,"Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. Featuring no side seams construction, with plumetis carré and sleeves this roundneck shirt offers a super-soft and warm touch on your skin and the ultimate in comfort and sensuality.","Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. ",Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8248-1.jpg,8248
Long Sleeves Shirt,"Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a precious wool fringes shaped macramè resembling a necklace. Featuring no side seams construction, this broad V neckline shirt offers a super-soft and warm touch on your skin and its elegance is perfect for every occasions as well as your everyday life.",Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a precious wool fringes shaped macramè resembling a necklace. ,Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8252-vert.jpg,8252
Long Sleeves Shirt,Scooped neckline Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with an eco-leather embroidered macramé and zip. Flat knit fabric on the front and rib knit fabric on the back to offer you a perfect and comfortable wearability and a warm touch on your skin. Its stylish uniqueness is perfect for important occasions as well as your everyday life.,Scooped neckline Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with an eco-leather embroidered macramé and zip.,Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8292-2.jpg,8292
Long Sleeves Shirt,Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a tufted lace and a double zip turtleneck. Flat tufted lace on the front and rib knit fabric on the back to offer you a perfect and comfortable wearability and a warm touch on your skin. Its stylish uniqueness is perfect for important occasions as well as your everyday life.,Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a tufted lace and a double zip turtleneck.,Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8300-2.jpg,8300
Long Sleeves Shirt,"Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a tulle embroidered voile. Featuring no side seams construction, this broad V neckline and shoulder embroidery offers a super-soft and warm touch on your skin and its elegance and style are perfect for every occasions as well as your everyday life.",Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a tulle embroidered voile.,Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8314-4.jpg,8314
Long Sleeves Shirt,Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a superposed embroidered tulle asymmetric carré. Flat knit fabric on the front and rib knit fabric on the back to offer you a perfect and comfortable wearability and a warm touch on your skin. Its stylish uniqueness is perfect for important occasions as well as your everyday life.,Long Sleeves Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with a superposed embroidered tulle asymmetric carré.,Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8320-2.jpg,8320
Long Sleeves Turtleneck Shirt,"Long Sleeves Turtleneck Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with the most elegant and feminine French stretch leavers lace, certified and numbered as true “Dentelle de Calais®”. Its V shaped carré, shoulders and turtleneck made of a unique and transparent leavers lace offer a super-soft and warm touch on your skin and the ultimate in comfort, elegance and sensuality.","Long Sleeves Turtleneck Shirt made of a precious and natural intimate blend of Merino extra fine wool and top quality pure silk with the most elegant and feminine French stretch leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Long Sleeves (Season Collection),FALSE,long_sleeves/8386-2.jpg,8386
,,,,,,,
