name,sku,description,one_liner,brand,category,featured,image,priority
Mandarine neck Top with macramé,8050,Mandarine neck Sleeveless Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a linen-cotton blend necklace fastening on the back and jewel-like multicolor macramé inlay of ethnic inspiration. Double construction with flat knit fabric on the front for the most comfortable wearability and rib fabric on the back for a cozy shaping of your body. This charming item is perfect to be worn during your days and nights out.,Mandarine neck Sleeveless Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a linen-cotton blend necklace fastening on the back and jewel-like multicolor macramé inlay of ethnic inspiration. ,Oscalito,Top (Spring Summer 2016),FALSE,top/8050.jpg,100
Sleeveless Top,8040-667-S,Sleeveless Top made of pure cotton macramé all over lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®). This elegant item is perfect for any occasions during your days and nights out.,Sleeveless Top made of pure cotton macramé all over lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®).,Oscalito,Top (Spring Summer 2016),FALSE,top/8040-667-S.jpg,100
Sleeveless Top with embroidered tulle,8090,Sleeveless Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with an embroidered tulle with feathers relief motif across the front neckline. Double construction with flat knit fabric on the front for the most comfortable wearability and rib fabric on the back for a cozy shaping of your body. This charming item is perfect to be worn during your days and nights out.,Sleeveless Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with an embroidered tulle with feathers relief motif across the front neckline. ,Oscalito,Top (Spring Summer 2016),FALSE,top/8090.jpg,100
Spaghetti Top with leavers,3170-010,"Spaghetti Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction, adjustable shoulder strap for a super-soft touch on your skin and the most comfortable fit on your body. Featuring a gentle V neck, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.","Spaghetti Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Top (Spring Summer 2016),FALSE,top/3170-010.jpg,100
Tank Top with flower embroidery,8110,Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with flowers embroidery on laser cut faux-leather all over lace. Super-soft touch on your skin and the most comfortable fit on your body. A stylish item ideal for daily use and nights out.,Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with flowers embroidery on laser cut faux-leather all over lace.,Oscalito,Top (Spring Summer 2016),FALSE,top/8110.jpg,100
Tank Top with leavers,3162-456,"Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body. Featuring a trendy scooped neckline, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.","Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Top (Spring Summer 2016),FALSE,top/3162-456.jpg,100
Tank Top with leavers,3172-010,"Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton(Filoscozia®)  with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction, adjustable shoulder strap for a super-soft touch on your skin and the most comfortable fit on your body. Featuring a gentle V neck, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.","Tank Top made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton(Filoscozia®)  with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Top (Spring Summer 2016),FALSE,top/3172-010.jpg,100
Buttoned Blouse with flower embroidery,8112-247,Buttoned Blouse made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with flowers embroidery on laser cut faux-leather all over lace and refined satin edging. Super-soft touch on your skin and the most comfortable fit on your body. A stylish item ideal for daily use and nights out.,Buttoned Blouse made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with flowers embroidery on laser cut faux-leather all over lace and refined satin edging.,Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/8112-247.jpg,100
Mini-tunic with macramè,8042-20-S,"Mini-tunic made of pure cotton macramé all over to be worn as a pass-partout matching any other Oscalito uncomplicated styles, adding an elegant and glamour touch to any situations.","Mini-tunic made of pure cotton macramé all over to be worn as a pass-partout matching any other Oscalito uncomplicated styles, adding an elegant and glamour touch to any situations.",Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/8042-20-S.jpg,100
Polo Shirt with embroidered tulle,8092-247-S,Buttoned Polo Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with an embroidered tulle with feathers relief motif across the front neckline. Double construction with flat knit fabric on the front for the most comfortable wearability and rib fabric on the back for a cozy shaping of your body. This charming item is perfect to be worn during your days and nights out.,Buttoned Polo Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with an embroidered tulle with feathers relief motif across the front neckline. ,Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/8092-247-S.jpg,100
T-shirt,3184,"Short Sleeves Shirt made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a large cotton trim across the boat-shaped neckline. Super-soft touch on your skin and flat knit fabric for the most comfortable wearability. Coming in several seasonal colors, this elegant item is perfect to be worn during your days and nights out.",Short Sleeves Shirt made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a large cotton trim across the boat-shaped neckline. Super-soft touch on your skin and flat knit fabric for the most comfortable wearability.,Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/3184.jpg,100
T-shirt with flower embroidery,8114-369-S,"Short Sleeves Shirt made of a flowers embroidery on laser cut faux-leather all over lace and refined satin edging, lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®). Super-soft touch on your skin and the most comfortable wearability. A stylish item ideal for daily use and nights out.","Short Sleeves Shirt made of a flowers embroidery on laser cut faux-leather all over lace and refined satin edging, lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®).",Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/8114-369-S.jpg,100
T-shirt with leavers,3164-456,"Short Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body. Featuring a trendy scooped neckline, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.","Short Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/3164-456.jpg,100
,,,,Oscalito,,FALSE,,
