name,description,one_liner,brand,category,featured,image
Carpets & Moquettes,"Carpets & Moquettes is a detergent in cream of the BIO is CHIC collection to remove stains from carpets and moquettes. Natural, delicate safe to clean and treat any carpets and moquettes. Its formula biodegradable over 90%, all natural, gentle, safe and created only with plant extracts enables to treat even the most stubborn stains easily and fast.",100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,1-carpet_and_moquettes.jpg
Cleaner Antistatic Hygienizing,"The Cleaner Antistatic Hygienizing is a natural degreaser, gentle safe to clean any surface. Its formulation biodegradable over 90%, totally natural and created only with plant extracts allows also to treat surfaces exposed to the sun without leaving streaks.",Only made of plant extract and Orchid,BIO is Chic,BIO is Chic,FALSE,2-cleaner_antistatic.jpg
ECODEGREASER,"The BIO is CHIC ECO DEGREASER is a natural degreaser, fast, super-active, safe and non-aggressive. Its unique composition, biodegradable over 90%, all natural and created only with plant extracts makes of BIO is CHIC ECO DEGREASER the environmentally friendly and total skin safety alternative
to products considered ""Dangerous goods"" such as: Acetone, turpentine, alcohol, trichlorethylene, Chemical solvents. Product for professional and domestic cleaning, fast, powerful and universal.",100% Natural - with ALOE VERA,BIO is Chic,BIO is Chic,FALSE,3-ecodegreaser.jpg
FABRIC CONDITIONER,"It is an unique creamy balm specifically designed and made in Italy to treat any type of fabric. The natural formula, ecological and totally
biodegradable with a PH NEUTRAL, made using only precious plant extracts, makes possible a special treatment to the fabrics both for hand washing and washing machine. ",Made with Orchid and plant extracts,BIO is Chic,BIO is Chic,FALSE,4-fabric_conditioner.jpg
FABRIC STAINS REMOVER ,"The FABRIC STAINS REMOVER is the product of the BIO is CHIC’s collection designed and produced to remove stains from fabrics and clothes. Natural, delicate safe to clean and treat anyfabric. Its formula biodegradable over 90%, all natural, gentle, safe and created only with plant extracts enables to treat even the most stubborn stains easily and fast.",100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,5-fabric_stain_remover.jpg
FLOORS AND SURFACES ,"BIO is CHIC FLOORS & SURFACES is the natural liquid detergent without rinsing totally biodegradable with PH NEUTRAL to wash and clean all kinds of surfaces. Made entirely with only plant extracts and Orchid, it thoroughly washes giving a fresh clean feeling that lasts in the time. Cleans and polishes in a single application all types of floors and surfaces in a natural
way thanks to its eco-friendly and organic formula. It is totally harmless to the adults ans children’s skins.",Made with Orchid and plant extracts,BIO is Chic,BIO is Chic,FALSE,6-floors_and_surfaces.jpg
NATURAL LIQUID DETERGENT LAUNDRY AND HAND WASHES WITH SOFTENER ,"This formula with softener respects the fibers and colors. IDEAL FOR: cotton (underwear, sheets, robes, towels) silk, wool (scarves, sweaters, technical fibers, (GORE-TEX..) curtains, jeans, t-shirts, etc.",Made with Orchid and plant extracts exquisite soft scent,BIO is Chic,BIO is Chic,FALSE,7-laundry_hand washes_with_softener.jpg
LAUNDRY AND HAND WASHES NATURAL DETERGENT WITH PRESTIGIOUS SALT,"This formula mixed with prestigious salt has been studied for those who want to have a perfect clothes cleaning and a natural bleaching protecting the skin, the environment, clothing and the washing machine. Our healthy detergent will also clean your washing machine every wash thanks the salt contained in, preventing the limestone’s formation.",With Prestigious Salt - Natural Bleaching Effect,BIO is Chic,BIO is Chic,FALSE,8-laundry_hand_washes.jpg
NATURAL ODOR REMOVER FOR FABRIC & CLOTHES ,"BIO is CHIC ODORS REMOVER FOR FABRIC &CLOTHES is an effective and fast 100% natural
odors remover, made of fine plant extracts and with a PH neutral. Gentle, healthy and totally environment eco-friendly, eliminates odors on fabrics and clothes even stronger like smoke and sweat. ",100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,9-odors_remover_for_fabric_and_clothes.jpg
NATURAL ODOD REMOVER FOR  SURFACES ,"BIO is CHIC ODORS REMOVER FOR SURFACES is an effective and fast 100% natural odors
remover, made of fine plant extracts and with a PH neutral. Gentle, healthy and totally environment eco-friendly, eliminates odors on surfaces even stronger like smoke, garlic onion, fried, fish, cigarettes.
",100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,10-odors_remover_for_surfaces.jpg
NATURAL ODOR REMOVER FOR MATTRESSES AND PILLOWS,"BIO is CHIC ODORS REMOVER FOR MATTRESSES & PILLOWS is an effective and fast 100%
natural odors remover, made of fine plant extracts and with a PH neutral. Gentle, healthy and totally environment eco-friendly, eliminates odors on mattresses and pillows even stronger like smoke, cigarettes and sweat.",100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,11-odors_remover_matress.jpg
SURFACES CREAM SCRUB,,100% NATURAL - PH NEUTRAL,BIO is Chic,BIO is Chic,FALSE,12-surfaces_cream_scrub.jpg
GYM - NATURAL SPRAY ODOR REMOVER&REFRESHING ,"An exclusive natural odor remover and refreshing spray designed for sporty people to smell fresh during and after a workout. Whether you cycle, swim, run, or gym, this nontoxic, natural, totally biodegradable formula refresh while removing odor.","Natural Spray, Odor Remover & Refreshing",BIO is Chic,BIO is Chic,FALSE,
