name,parent,one_liner,description,image,priority
,,,,,
BIO is Chic,,,,bio_is_chic.png,1
Fashion,,,,fashion.png,2
Food & Beverages,,,,food_beverages.png,3
Automotive,,,,automotive.png,4
Hospitality,,,,hospitality.png,5
Home,,,,home.png,6
,,,,,
,,,,,
Beverages,Food & Beverages,,,beverages.png,2
Food Stuffs,Food & Beverages,,,food_stuffs.png,3
,,,,,
,,,,,
Vegitables,Food Stuffs,,,vegetables.png,2
Pasta,Food Stuffs,,,pasta.png,3
Cheese,Food Stuffs,,,cheese.png,4
,,,,,
Coffee,Beverages,,,coffee.png,1
Energy Drink,Beverages,,,energy_drink.png,2
Beer,Beverages,,,beer.png,3
Wine,Beverages,,,wine.png,4
,,,,,
Car Care,Automotive,,,car_care.png,
Green Car Care,Car Care,,,green_car_care.png,
,,,,,
,,,,,
Basic Men Wear,Fashion,,,men_fashion.png,1
Basic Women Wear,Fashion,"While feminine and refined, Oscalito’s Basic Collection for women focuses on the timeless essential.","“Quality”, “attention to detail” and “excellence in raw materials” are our watchwords.
The purest silk, extra-fine Australian merino wool, mercerised cotton, micromodal. These precious fibres are what makes the Basic Collection unique.
A reliable friend year-round: Oscalito’s Basic Collection.",women_fashion.png,2
Season Collection,Fashion,,,season_fashion.png,3
,,"while feminine and refined, Oscalito’s Basic Collection for women focuses on the timeless essential.",,,
Homewear (Basic Women Wear),Basic Women Wear,,,homewear_women.png,1
Long Sleeves (Basic Women Wear),Basic Women Wear,,,long_sleeves_women.png,2
T-Shirt (Basic Women Wear),Basic Women Wear,,,t_shirt_women.png,3
,,,,,
Leggings (Basic Men Wear),Basic Men Wear,,,leggings_men.png,1
Long Sleeves (Basic Men Wear),Basic Men Wear,,,long_sleeves_men.png,2
Sleeveless (Basic Men Wear),Basic Men Wear,,,sleeveless_men.png,3
,,,,,
Cardigan (Season Collection),Season Collection,,,cardigan_sc.png,1
Long Sleeves (Season Collection),Season Collection,,,long_sleeves_sc.png,2
Sleeveless (Season Collection),Season Collection,,,sleeveless_sc.png,3
,,,,,
Pet Care,Home,,,pet_care.png,1
Laundry,Home,,,laundry.png,2
Kitchen,Home,,,kitchen.png,3
Bedroom,Home,,,bedroom.png,4
,,,,,
Smelling Good,Pet Care,,,smelling_good.png,
,,,,,
Spring Summer 2016,Season Collection,,,,
,,,,,
Top (Spring Summer 2016),Spring Summer 2016,,,,
T-shirt (Spring Summer 2016),Spring Summer 2016,,,,
Brief (Spring Summer 2016),Spring Summer 2016,,,,
Sleeveless (Spring Summer 2016),Spring Summer 2016,,,,
Cardigan (Spring Summer 2016),Spring Summer 2016,,,,
Long sleeves (Spring Summer 2016),Spring Summer 2016,,,,
