name,description,one_liner,brand,category,featured,image,sku
Spaghetti chemise with leavers,"Spaghetti chemise made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. ",Ideal as a warm nightdress or as unconventional long camisole for daily use.,Oscalito,Homewear (Basic Women Wear),FALSE,homewear/3409_020_F.jpg,3409-012
Spaghetti chemise with satin,Spaghetti chemise made of the finest flat knit fabric in pure Egyptian Makò mercerized Cotton (Filoscozia®)  with an elegant and feminine sleek satin edging and adjustable shoulder strap.,"Super-soft touch on your skin and the most comfortable fit on your body, it can be worn as a loungewear, nightdress or unconventional long camisole for daily use.",Oscalito,Homewear (Basic Women Wear),FALSE,homewear/550_010_F.jpg, 550-020
Spaghetti Top with satin,Spaghetti Top made of the finest flat knit fabric in pure Egyptian Makò mercerized Cotton (Filoscozia®).,"Elegant V neckline, adjustable straps, no side seams, with elegant sleek satin edging,  to enhance your femininity  with the most softness and comfort on the skin.",Oscalito,Homewear (Basic Women Wear),FALSE,homewear/540_020_F.jpg,540
Tank Top Chemise,Tank Top Chemise made from the lightest and airiest micro-modal with a cozy scooped neckline for a super-soft touch on your skin and the utmost comfort and wearability. ,"Coming in several seasonal colors, it can be worn as a loungewear, nightdress or unconventional long camisole for daily use.",Oscalito,Homewear (Basic Women Wear),FALSE,homewear/1210_020_F.jpg, 1210-020
,,,,,,,
,,,,,,,
,,,,,,,
Body long sleeves,"
Body, Long sleeves, made of pure Merino extrafine wool with sleek satin edging.  Flat knit fabric,  no side seams for the  most comfortable wearability and a warm touch on skin, offering an incredible soft feel and acting as a natural temperature regulator.",Light trendy neckline. Ideal during  colder seasons.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/133_020_F.jpg,133
Long Sleeve Camisole with satin,"Long Sleeves Camisole made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with an elegant and large sleek satin edging and cuffs. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability.","This gorgeous garment can be worn easily as an outerwear style, offering an incredible lightweight feel and acting as a natural temperature regulator, ideal during the colder seasons.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/4258_012_F.jpg, 4258-012
Long Sleeve Shirt,Long Sleeves Shirt made from the lightest and airiest micro-modal with a simple scooped neckline for a super-soft touch on your skin and the utmost comfort and wearability.,"Coming in several seasonal colors, ideal for when you have to travel light, with easy-care and quick-drying garments that require little space in handbag or suitcase.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/1206_010_F.jpg, 1206-010
Long Sleeve shirt,"Long Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with simple elegant edging. Rib knit fabric, no side seams construction for a warm touch on your skin and the most comfortable fit on your body. ","Coming in several seasonal colors, it will soon become your second undeniable skin.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3446_020_F.jpg, 3446-020
Long Sleeve shirt,"Long Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with simple elegant edging. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability. ","This uncomplicated scooped neckline garment can be worn easily as an outerwear everyday style, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3476_251_F.jpg, 3476-251
Long sleeve shirt with leavers,"Long sleeves shirt made of a delicate fine ribbed knit fabric in pure silk organza with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. ",Super-soft touch and no side seams construction for the ultimate in comfort.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/9476_020_F.jpg, 9476-012
Long Sleeve shirt with satin,"Long Sleeves shirt made of pure Merino extrafine wool with an elegant and sleek satin edging. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability. ","Featuring a trendy scooped neckline, offering an incredible soft feel and acting as a natural temperature regulator, ideal during the colder seasons.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/132_012_F.jpg, 132-012
Long Sleeve Shirt with satin,Long Sleeves Shirt made of the finest flat knit fabric in pure Egyptian Makò mercerized Cotton (Filoscozia®)  with an elegant and feminine sleek satin edging. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body,This elegant item is perfect to be worn during your days and nights out.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/556_020_F.jpg, 556-020
Long Sleeve shirt with satin,"Long Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with elegant and sleek satin edging. Rib knit fabric, no side seams construction for a warm touch on your skin and the most comfortable fit on your body.","This uncomplicated garment can be worn easily as an outerwear everyday style, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons. ",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3426_012_F.jpg, 3426-012
Long Sleeve shirt with satin,"Long Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with elegant and sleek satin edging. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability. ","This uncomplicated garment can be worn easily as an outerwear everyday style, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3436_012_F.jpg, 3436-012
Long Sleeve Top with leavers,"Long Sleeves Top made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. Rib knit fabric, no side seams construction for a warm touch on your skin and the most comfortable fit on your body.","This gorgeous garment can be worn easily as an outerwear everyday style, coming in several seasonal colors, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3416_012_F.jpg, 3416-012
Long Sleeve V neck,"Long Sleeves V neck shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with simple elegant edging. Rib knit fabric, no side seams construction, gentle V neck for a warm touch on your skin and the most comfortable fit on your body.","Coming in several seasonal colors, it will soon become your second undeniable skin.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3486_012_F.jpg, 3486-012
Long Sleeves High Neck Shirt,"Long sleeves high neck shirt  made from the lightest and  airiest micro-modal,  fiber of natural origin obtained from wood cellulose, exceptionally  soft on the skin to give a pleasant sensation of well-being due to its velvet like surface for the utmost comfort and wearability.","Coming in several seasonal colors, it is perfect when you have to travel light, with easy-care and quick-drying garments that require little space in handbag or suitcase.",Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/1207_020_F.jpg,1207
Long Sleeves Mock Turtleneck,"Long Sleeves Mock Turtleneck made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk. Rib knit fabric,no side seams constructionfor a warm touchon your skin and the most comfortable fit on your body. ",The all-time Oscalito bestseller has always been a favourite icon piece and it will soon become your second undeniable skin.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/3429_012_F.jpg,3429
Long Sleeves Shirt 100% Silk,"Long sleeves shirt made of a delicate soft flat knit fabric in pure silk organza with elegant and sleek satin edging. Super-soft touch,  no side seams construction for the best in comfort. Featuring a trendy scooped neckline allowing multiple daily use as pure underwear or under-jacket. ",The precious natural yarn of silk organza (quality grade 6A or 5A) gives an incredible luxury feel on your skin.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/4486_020_F.jpg,4486
Long Sleeves Shirt Pure Silk,"Pretty and feminine Long sleeves shirt  made of a delicate fine ribbed knit fabric in pure silk organza with elegant satin edging. Super-soft touch, no side seams construction for a sleek profile. ",Made from the best and softest pure silk organza (quality grade 6A or 5A) for an incredible luxury feel against your skin.,Oscalito,Long Sleeves (Basic Women Wear),FALSE,long_sleeves/9456_435_F.jpg,9456
,,,,,,,
,,,,,,,
,,,,,,,
T-shirt,Short Sleeves Top made from the lightest and airiest micro-modal with a simple scooped neckline for a super-soft touch on your skin and the utmost comfort and wearability. ,"Coming in several seasonal colors, ideal for when you have to travel light, with easy-care and quick-drying garments that require little space in handbag or suitcase.",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/1204_020_F.jpg, 1204-020
T-shirt 100% Silk,"T-shirt made of a delicate  soft flat knit fabric in pure silk organza with elegant and sleek satin edging. Super-soft touch,  no side seams construction for the best in comfort. Featuring a trendy scooped neckline allowing multiple daily use as pure underwear or under-jacket.", The precious natural yarn of silk organza (quality grade 6A or 5A) gives an incredible luxury feel on your skin.,Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/4484_012_F.jpg,4484
T-shirt with leavers,"Short Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body.","Featuring a trendy scooped neckline, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/3164_010_F.jpg, 3164-010
T-shirt with leavers,"Short Sleeves Top made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with the most elegant and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. Rib knit fabric, no side seams construction for a warm touch on your skin and the most comfortable fit on your body. ","This gorgeous garment can be worn easily as an outerwear everyday style, coming in several seasonal colors, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons.
",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/3414_012_F.jpg, 3414-012
T-shirt with satin,"Short Sleeves shirt made of pure Merino extrafine wool with an elegant and sleek satin edging. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability.","Featuring a trendy scooped neckline, offering an incredible soft feel and acting as a natural temperature regulator, ideal during the colder seasons.",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/131_020_F.jpg, 131-020
T-shirt with satin,Short Sleeves Shirt made of the finest flat knit fabric in pure Egyptian Makò mercerized Cotton (Filoscozia®)  with an elegant and feminine sleek satin edging. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body. ,This elegant item is perfect to be worn during your days and nights out.,Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/554_010_F.jpg, 554-010
T-shirt with satin,"Short Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with elegant and sleek satin edging. Rib knit fabric, no side seams construction for a warm touch on your skin and the most comfortable fit on your body."," This uncomplicated garment can be worn easily as an outerwear style, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons. ",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/3424_020_F.jpg, 3424-020
T-shirt with satin,"Short Sleeves shirt made of a precious and natural intimate blend of Merino extrafine wool and top quality pure silk with elegant and sleek satin edging. Flat knit fabric, no side seams construction for a warm touch on your skin and the most comfortable wearability."," This uncomplicated garment can be worn easily as an outerwear everyday style, offering an incredible soft feel and acting as a natural temperature regulator, perfect during the colder seasons.",Oscalito,T-Shirt (Basic Women Wear),FALSE,t_shirt/3434_012_F.jpg, 3434-012
